siteID,plotID,plotType,nlcdClass,elevation,collectDate,eventID,sampleID,samplingMethod,adultCount,nymphCount,larvaCount
HARV,HARV_002,distributed,deciduousForest,187.7,2018-07-16T13:13:00Z,HARV.2018.29,HARV_002.20180716,drag and flag,1,7,1
HARV,HARV_001,distributed,deciduousForest,202.1,2018-07-16T15:03:00Z,HARV.2018.29,HARV_001.20180716,drag and flag,0,4,0
HARV,HARV_006,distributed,deciduousForest,190.8,2018-07-16T16:11:00Z,HARV.2018.29,HARV_006.20180716,drag and flag,2,0,0
HARV,HARV_026,distributed,evergreenForest,187.3,2018-07-16T17:01:00Z,HARV.2018.29,HARV_026.20180716,drag and flag,1,3,0
HARV,HARV_004,distributed,mixedForest,182.6,2018-07-16T17:55:00Z,HARV.2018.29,HARV_004.20180716,drag and flag,1,2,0
HARV,HARV_022,distributed,evergreenForest,185.9,2018-07-16T18:58:00Z,HARV.2018.29,HARV_022.20180716,drag and flag,0,9,1
HARV,HARV_006,distributed,deciduousForest,190.8,2018-08-07T13:22:00Z,HARV.2018.32,NA,drag and flag,0,0,0
HARV,HARV_026,distributed,evergreenForest,187.3,2018-08-07T14:07:00Z,HARV.2018.32,HARV_026.20180807,drag and flag,1,0,0
HARV,HARV_001,distributed,deciduousForest,202.1,2018-08-07T15:09:00Z,HARV.2018.32,HARV_001.20180807,drag and flag,0,3,0
HARV,HARV_004,distributed,mixedForest,182.6,2018-08-07T16:35:00Z,HARV.2018.32,NA,drag,0,0,0
HARV,HARV_022,distributed,evergreenForest,185.9,2018-08-07T17:33:00Z,HARV.2018.32,HARV_022.20180807,drag and flag,0,6,0
HARV,HARV_002,distributed,deciduousForest,187.7,2018-08-08T18:49:00Z,HARV.2018.32,HARV_002.20180808,drag and flag,1,0,0
HARV,HARV_002,distributed,deciduousForest,187.7,2018-08-27T14:25:00Z,HARV.2018.35,HARV_002.20180827,drag and flag,0,3,93
HARV,HARV_004,distributed,mixedForest,182.6,2018-08-27T16:44:00Z,HARV.2018.35,HARV_004.20180827,drag and flag,0,0,10
HARV,HARV_026,distributed,evergreenForest,187.3,2018-08-27T17:53:00Z,HARV.2018.35,HARV_026.20180827,drag and flag,0,3,33
HARV,HARV_006,distributed,deciduousForest,190.8,2018-08-27T18:53:00Z,HARV.2018.35,HARV_006.20180827,drag and flag,0,0,55
HARV,HARV_022,distributed,evergreenForest,185.9,2018-08-28T12:38:00Z,HARV.2018.35,HARV_022.20180828,drag and flag,2,2,231
HARV,HARV_001,distributed,deciduousForest,202.1,2018-08-28T15:16:00Z,HARV.2018.35,HARV_001.20180828,drag and flag,0,1,0
HARV,HARV_022,distributed,evergreenForest,185.9,2019-04-22T13:53:00Z,HARV.2019.17,NA,drag and flag,NA,NA,NA
HARV,HARV_026,distributed,evergreenForest,187.3,2019-04-22T16:03:00Z,HARV.2019.17,HARV_026.20190422,drag and flag,NA,NA,NA
HARV,HARV_006,distributed,deciduousForest,190.8,2019-04-24T17:52:00Z,HARV.2019.17,NA,drag and flag,NA,NA,NA
HARV,HARV_001,distributed,deciduousForest,202.1,2019-04-25T14:21:00Z,HARV.2019.17,NA,drag and flag,NA,NA,NA
HARV,HARV_022,distributed,evergreenForest,185.9,2018-09-17T12:34:00Z,HARV.2018.38,HARV_022.20180917,drag and flag,0,1,32
HARV,HARV_006,distributed,deciduousForest,190.8,2018-09-17T14:08:00Z,HARV.2018.38,HARV_006.20180917,drag and flag,0,0,34
HARV,HARV_026,distributed,evergreenForest,187.3,2018-09-17T15:24:00Z,HARV.2018.38,HARV_026.20180917,drag and flag,0,0,7
HARV,HARV_001,distributed,deciduousForest,202.1,2018-09-17T16:46:00Z,HARV.2018.38,HARV_001.20180917,drag and flag,0,0,2
HARV,HARV_004,distributed,mixedForest,182.6,2018-09-17T17:58:00Z,HARV.2018.38,HARV_004.20180917,drag and flag,0,1,22
HARV,HARV_002,distributed,deciduousForest,187.7,2018-09-20T14:10:00Z,HARV.2018.38,HARV_002.20180920,drag and flag,0,2,37
HARV,HARV_022,distributed,evergreenForest,185.9,2019-05-15T15:20:00Z,HARV.2019.20,NA,drag and flag,NA,NA,NA
HARV,HARV_026,distributed,evergreenForest,187.3,2019-05-15T16:21:00Z,HARV.2019.20,HARV_026.20190515,drag and flag,NA,NA,NA
HARV,HARV_001,distributed,deciduousForest,202.1,2019-05-15T17:34:00Z,HARV.2019.20,NA,drag and flag,NA,NA,NA
HARV,HARV_006,distributed,deciduousForest,190.8,2019-05-15T17:35:00Z,HARV.2019.20,HARV_006.20190515,drag and flag,NA,NA,NA
HARV,HARV_004,distributed,mixedForest,182.6,2019-05-15T19:00:00Z,HARV.2019.20,HARV_004.20190515,drag and flag,NA,NA,NA
HARV,HARV_006,distributed,deciduousForest,190.8,2019-07-15T14:59:00Z,HARV.2019.29,HARV_006.20190715,drag and flag,NA,NA,NA
HARV,HARV_026,distributed,evergreenForest,187.3,2019-07-15T17:42:00Z,HARV.2019.29,HARV_026.20190715,drag and flag,NA,NA,NA
HARV,HARV_022,distributed,evergreenForest,185.9,2019-07-16T12:31:00Z,HARV.2019.29,HARV_022.20190716,drag and flag,NA,NA,NA
HARV,HARV_001,distributed,deciduousForest,202.1,2019-07-16T14:48:00Z,HARV.2019.29,HARV_001.20190716,drag and flag,NA,NA,NA
HARV,HARV_004,distributed,mixedForest,182.6,2019-07-16T16:57:00Z,HARV.2019.29,HARV_004.20190716,drag and flag,NA,NA,NA
HARV,HARV_002,distributed,deciduousForest,187.7,2019-07-16T18:50:00Z,HARV.2019.29,HARV_002.20190716,drag and flag,NA,NA,NA
HARV,HARV_022,distributed,evergreenForest,185.9,2019-06-04T13:31:00Z,HARV.2019.23,HARV_022.20190604,drag,NA,NA,NA
HARV,HARV_004,distributed,mixedForest,182.6,2019-06-04T15:31:00Z,HARV.2019.23,HARV_004.20190604,drag and flag,NA,NA,NA
HARV,HARV_006,distributed,deciduousForest,190.8,2019-06-04T17:44:00Z,HARV.2019.23,HARV_006.20190604,drag,NA,NA,NA
HARV,HARV_026,distributed,evergreenForest,187.3,2019-06-04T19:05:00Z,HARV.2019.23,HARV_026.20190604,drag and flag,NA,NA,NA
HARV,HARV_001,distributed,deciduousForest,202.1,2019-06-05T12:45:00Z,HARV.2019.23,NA,drag and flag,NA,NA,NA
HARV,HARV_002,distributed,deciduousForest,187.7,2019-06-05T15:11:00Z,HARV.2019.23,HARV_002.20190605,drag and flag,NA,NA,NA
HARV,HARV_002,distributed,deciduousForest,187.7,2019-06-24T14:00:00Z,HARV.2019.26,HARV_002.20190624,drag,NA,NA,NA
HARV,HARV_004,distributed,mixedForest,182.6,2019-06-24T15:55:00Z,HARV.2019.26,HARV_004.20190624,drag,NA,NA,NA
HARV,HARV_001,distributed,deciduousForest,202.1,2019-06-24T17:34:00Z,HARV.2019.26,HARV_001.20190624,drag,NA,NA,NA
HARV,HARV_006,distributed,deciduousForest,190.8,2019-06-24T18:51:00Z,HARV.2019.26,HARV_006.20190624,drag,NA,NA,NA
HARV,HARV_026,distributed,evergreenForest,187.3,2019-06-24T19:31:00Z,HARV.2019.26,HARV_026.20190624,drag,NA,NA,NA
HARV,HARV_022,distributed,evergreenForest,185.9,2019-06-24T20:26:00Z,HARV.2019.26,HARV_022.20190624,drag,NA,NA,NA
HARV,HARV_006,distributed,deciduousForest,190.8,2019-08-05T13:05:00Z,HARV.2019.32,HARV_006.20190805,drag,NA,NA,NA
HARV,HARV_026,distributed,evergreenForest,187.3,2019-08-05T15:01:00Z,HARV.2019.32,HARV_026.20190805,drag,NA,NA,NA
HARV,HARV_022,distributed,evergreenForest,185.9,2019-08-05T17:27:00Z,HARV.2019.32,HARV_022.20190805,drag,NA,NA,NA
